value,pct_convos
misinformation,0.0
harmfulness,0.0
carelessness,0.0
rudeness,0.0
impulsivity,0.0
disrespect,0.0
negligence,0.0
ambiguity,0.0
dishonesty,0.0
inaccuracy,0.0
deception,0.0
manipulation,0.0
hostility,0.0
falsehood,0.0
secrecy,0.0
bias,0.0
incompetence,0.0
amorality,0.0
irresponsibility,0.0
unfairness,0.0
hindrance,0.0
unprofessionalism,0.0
disrespectfulness,0.0
obstruction,0.0
apathy,0.0
subjectivity,0.0
partisanship,0.0
foolishness,0.0
corruption,0.0
ignorance,0.0
prejudice,0.0
dogmatism,0.0
intolerance,0.0
arrogance,0.0
callousness,0.0
evasiveness,0.0
cynicism,0.0
negativity,0.0
rigidity,0.0
condescension,0.0
superficiality,0.0
vagueness,0.0
insensitivity,0.0
aggression,0.0
confusion,0.0
incomprehensibility,0.0
shortsightedness,0.0
unreliability,0.0
instability,0.0
recklessness,0.0